case_id,kind,dose_krad_si,x_v,drain_current_a
S_D10_n5,transfer,10,-1.93,3.61833808334e-10
S_D10_n5,transfer,10,-1.83895333333,3.78647371112e-10
S_D10_n5,transfer,10,-1.7172138237,3.60184445614e-10
S_D10_n5,transfer,10,-1.5772138237,3.01441014925e-10
S_D10_n5,transfer,10,-1.4372138237,2.41158990766e-10
S_D10_n5,transfer,10,-1.2972138237,2.07118632158e-10
S_D10_n5,transfer,10,-1.1572138237,2.15383267965e-10
S_D10_n5,transfer,10,-1.0172138237,3.39775328899e-10
S_D10_n5,transfer,10,-0.877213823704,1.06015145402e-09
S_D10_n5,transfer,10,-0.737213823704,4.95622831365e-09
S_D10_n5,transfer,10,-0.597213823704,2.43370344638e-08
S_D10_n5,transfer,10,-0.457213823704,1.18367192799e-07
S_D10_n5,transfer,10,-0.317213823704,5.655380125389999e-07
S_D10_n5,transfer,10,-0.177213823704,2.54647697045e-06
S_D10_n5,transfer,10,-0.0372138237037,1.10398198651e-05
S_D10_n5,transfer,10,0.102786176296,4.67205773945e-05
S_D10_n5,transfer,10,0.242786176296,0.000191258752506
S_D10_n5,transfer,10,0.382786176296,0.0007375026298
S_D10_n5,transfer,10,0.522786176296,0.00253579917031
S_D10_n5,transfer,10,0.662786176296,0.00717917026167
S_D10_n5,transfer,10,0.802786176296,0.0158466360255
S_D10_n5,transfer,10,0.942786176296,0.027617676099
S_D10_n5,transfer,10,1.0827861763,0.0402093953387
S_D10_n5,transfer,10,1.2227861763,0.0519444969847
S_D10_n5,transfer,10,1.3627861763,0.0622449795836
S_D10_n5,transfer,10,1.5027861763,0.0711220053034
S_D10_n5,transfer,10,1.6427861763,0.0787680491672
S_D10_n5,transfer,10,1.7827861763,0.0853942188397
S_D10_n5,transfer,10,1.9227861763,0.0911838158544
S_D10_n5,transfer,10,2.0627861763,0.09628538163060001
S_D10_n5,transfer,10,2.2027861763,0.100816819629
S_D10_n5,transfer,10,2.3427861763,0.104871477604
S_D10_n5,transfer,10,2.4827861763,0.108523634813
S_D10_n5,transfer,10,2.6227861763,0.111832883103
S_D10_n5,transfer,10,2.7627861763,0.114847479665
S_D10_n5,transfer,10,2.9027861763,0.117606877808
S_D10_n5,transfer,10,3.0427861763,0.120143634659
S_D10_n5,transfer,10,3.1827861763,0.12248485559
S_D10_n5,transfer,10,3.3227861763,0.124653295804
S_D10_n5,transfer,10,3.4627861763,0.126668207593
S_D10_n5,transfer,10,3.6027861763,0.128545997853
S_D10_n5,transfer,10,3.7427861763,0.130300742925
S_D10_n5,transfer,10,3.8827861763,0.131944595299
S_D10_n5,transfer,10,4.0227861763,0.133488107599
S_D10_n5,transfer,10,4.1627861763,0.134940492775
S_D10_n5,transfer,10,4.3027861763,0.136309834683
S_D10_n5,transfer,10,4.4427861763,0.137603259735
S_D10_n5,transfer,10,4.5827861763,0.138827077803
S_D10_n5,transfer,10,4.7227861763,0.139986898631
S_D10_n5,transfer,10,4.8627861763,0.141087728607
S_D10_n5,transfer,10,5,0.142113733496
