case_id,kind,dose_krad_si,x_v,drain_current_a
S_D20_n6,transfer,20,-1.93,3.52922203021e-10
S_D20_n6,transfer,20,-1.84150444444,3.41409030663e-10
S_D20_n6,transfer,20,-1.72317605383,3.924459962e-10
S_D20_n6,transfer,20,-1.58317605383,7.80221597442e-10
S_D20_n6,transfer,20,-1.44317605383,2.84675201067e-09
S_D20_n6,transfer,20,-1.30317605383,1.25299972434e-08
S_D20_n6,transfer,20,-1.16317605383,5.46554593513e-08
S_D20_n6,transfer,20,-1.02317605383,2.37211499663e-07
S_D20_n6,transfer,20,-0.883176053827,9.834375537620001e-07
S_D20_n6,transfer,20,-0.743176053827,3.83525097728e-06
S_D20_n6,transfer,20,-0.603176053827,1.45281082108e-05
S_D20_n6,transfer,20,-0.463176053827,5.39607384221e-05
S_D20_n6,transfer,20,-0.323176053827,0.000195083963437
S_D20_n6,transfer,20,-0.183176053827,0.000673413999398
S_D20_n6,transfer,20,-0.0431760538272,0.00213468197767
S_D20_n6,transfer,20,0.0968239461728,0.00584939128057
S_D20_n6,transfer,20,0.236823946173,0.0131098121382
S_D20_n6,transfer,20,0.376823946173,0.0237460946489
S_D20_n6,transfer,20,0.516823946173,0.0359286961567
S_D20_n6,transfer,20,0.656823946173,0.0477794463732
S_D20_n6,transfer,20,0.796823946173,0.0584067298037
S_D20_n6,transfer,20,0.936823946173,0.06765934268690001
S_D20_n6,transfer,20,1.07682394617,0.0756716671684
S_D20_n6,transfer,20,1.21682394617,0.0826385492857
S_D20_n6,transfer,20,1.35682394617,0.0887410999921
S_D20_n6,transfer,20,1.49682394617,0.0941298703061
S_D20_n6,transfer,20,1.63682394617,0.0989257130395
S_D20_n6,transfer,20,1.77682394617,0.103224843924
S_D20_n6,transfer,20,1.91682394617,0.107104056366
S_D20_n6,transfer,20,2.05682394617,0.110625072738
S_D20_n6,transfer,20,2.19682394617,0.113837938654
S_D20_n6,transfer,20,2.33682394617,0.116783609324
S_D20_n6,transfer,20,2.47682394617,0.11949590897
S_D20_n6,transfer,20,2.61682394617,0.122003018673
S_D20_n6,transfer,20,2.75682394617,0.124328613073
S_D20_n6,transfer,20,2.89682394617,0.126492735669
S_D20_n6,transfer,20,3.03682394617,0.128512478681
S_D20_n6,transfer,20,3.17682394617,0.130402515764
S_D20_n6,transfer,20,3.31682394617,0.13217552308
S_D20_n6,transfer,20,3.45682394617,0.133842514906
S_D20_n6,transfer,20,3.59682394617,0.135413113317
S_D20_n6,transfer,20,3.73682394617,0.136895766525
S_D20_n6,transfer,20,3.87682394617,0.138297926951
S_D20_n6,transfer,20,4.01682394617,0.139626197459
S_D20_n6,transfer,20,4.15682394617,0.140886452212
S_D20_n6,transfer,20,4.29682394617,0.142083937185
S_D20_n6,transfer,20,4.43682394617,0.143223354224
S_D20_n6,transfer,20,4.57682394617,0.144308931751
S_D20_n6,transfer,20,4.71682394617,0.145344484532
S_D20_n6,transfer,20,4.85682394617,0.146333464457
S_D20_n6,transfer,20,4.99682394617,0.147279003877
S_D20_n6,transfer,20,5,0.147299969996
