x_um,electric_field_magnitude_v_per_cm
-1.29999995232,51870.2951346
-1.29999995232,51870.2951346
-1.21875,51925.4728382
-1.21875,51925.4728382
-1.13750004768,50948.1282337
-1.13750004768,50948.1282337
-1.05624997616,49190.391253
-1.05624997616,49190.391253
-1.015625,44692.4866676
-1.015625,44692.4866676
-0.975000023842,36899.1651397
-0.975000023842,36899.1651397
-0.954687476158,33331.977422
-0.954687476158,33331.977422
-0.934374988079,27678.8217511
-0.934374988079,27678.8217511
-0.9140625,21417.0366968
-0.9140625,21417.0366968
-0.893750011921,16683.9365411
-0.893750011921,16683.9365411
-0.873437523842,15979.0221748
-0.873437523842,15979.0221748
-0.86328125,17364.8169463
-0.86328125,17364.8169463
-0.853124976158,22660.2407731
-0.853124976158,22660.2407731
-0.842968761921,30782.5773389
-0.842968761921,30782.5773389
-0.837890625,38028.1268525
-0.837890625,38028.1268525
-0.832812488079,59291.1177729
-0.832812488079,59291.1177729
-0.827734351158,107124.095727
-0.827734351158,107124.095727
-0.826245129108,129983.689949
-0.826245129108,129983.689949
-0.824999988079,128807.959868
-0.824999988079,128807.959868
-0.824999988079,128807.959868
-0.822656273842,674025.393259
-0.819339990616,682172.664655
-0.817859888077,809771.040708
-0.817578136921,959575.07938
-0.816683471203,959103.066046
-0.8125,963651.854476
-0.811605334282,963557.570585
-0.807421863079,965969.783882
-0.806527197361,965878.315431
-0.802343726158,966700.811917
-0.80144906044,966220.253803
-0.797265648842,965063.667209
-0.796370983124,964236.421215
-0.792187511921,961048.473003
-0.791292846203,959958.85501
-0.787109375,954967.425507
-0.786214709282,953707.137826
-0.782031238079,947838.827865
-0.781136572361,946458.651324
-0.776953101158,939806.147273
-0.77605843544,938382.614131
-0.771875023842,931597.672852
-0.770980358124,930182.826901
-0.766796886921,923651.129615
-0.765902221203,922077.34307
-0.76171875,916868.7772
-0.753351807594,907505.85818
-0.752009809017,906625.171877
-0.751562476158,906406.889348
-0.751115143299,906437.891233
-0.74185359478,904925.330996
-0.741406261921,905016.81347
-0.734655618668,145684.161183
-0.733002364635,145345.080994
-0.732196092606,106319.909454
-0.731301128864,62952.7585058
-0.729441106319,0.662556116886
-0.729441106319,0.662556116886
-0.729001224041,0.755816670053
-0.721093773842,0.736506844979
-0.718843102455,0.716438553399
-0.71333104372,0.677031278007
-0.7109375,0.684237288574
-0.707388997078,0.663718874653
-0.700781226158,0.651674394217
-0.698401391506,0.630390099773
-0.69439971447,0.610086816647
-0.690625011921,0.621268612033
-0.682304263115,0.560178840413
-0.676997959614,0.547158010818
-0.671998441219,0.532575915327
-0.671380341053,0.533141138655
-0.671380341053,0.533141138655
-0.670190393925,34524.430862
-0.669620394707,51079.6738059
-0.668725669384,45482.9966889
-0.66015625,532904.760568
-0.659261524677,527720.792741
-0.649999976158,464982.977396
-0.649105250835,460192.338004
-0.639843761921,408356.934477
-0.638949036598,404282.816539
-0.629687488079,350628.203795
-0.628792762756,347187.717926
-0.61490046978,296682.156815
-0.609375,275374.393881
-0.60384953022,264885.245435
-0.594587981701,239922.685227
-0.589062511921,223635.80185
-0.578011572361,208447.936541
-0.568750023842,191640.904996
-0.557699024677,177136.937928
-0.548437476158,165071.333072
-0.537386536598,153941.437215
-0.528124988079,144722.833195
-0.517074048519,135972.672311
-0.5078125,128702.238351
-0.49676156044,121635.975797
-0.487500011921,115759.024783
-0.476449042559,109997.190375
-0.46718749404,105175.255715
-0.45613655448,100429.787434
-0.44687500596,96432.4446239
-0.435824036598,92489.2853004
-0.426562488079,89150.7306911
-0.415511548519,85850.5939894
-0.40625,83033.9015457
-0.39519906044,80262.1068596
-0.385937511921,77874.6878024
-0.374886542559,75549.6543077
-0.36562499404,73539.7839679
-0.35457405448,71597.5516236
-0.34531250596,69954.9702854
-0.334261536598,68302.6159896
-0.324999988079,66885.4765892
-0.313949048519,65471.0404775
-0.3046875,64218.0003361
-0.29363656044,63175.8249005
-0.284375011921,61880.0574028
-0.262273102999,59531.1642431
-0.24375000596,57896.8349042
-0.212386548519,56774.9083107
-0.203125,56324.3072729
-0.171761542559,55205.6295442
-0.16249999404,54893.6732858
-0.131136551499,54791.0994411
-0.12187500298,54793.5385337
-0.104986988008,13351.5474466
-0.10000000149,2.35295316052e-16
-0.10000000149,2.35295316052e-16
-0.085524559021,1.92350114513e-16
-0.0812499970198,1.7966852752e-16
-0.0498865433037,1.2239105893e-16
-0.0406249985099,1.05477187225e-16
-0.00926154572517,2.40463125013e-17
0,9.76694877588e-23
0.031363453716,8.14308777133e-17
0.0406249985099,1.05477193707e-16
0.0719884485006,1.62754632247e-16
0.0812499970198,1.79668514084e-16
0.0957254394889,2.22613691602e-16
0.10000000149,2.3529530518e-16
0.10000000149,2.3529530518e-16
0.116888016462,40516.977508
0.12187500298,53604.354885
0.15323844552,54478.784209
0.16249999404,54815.0958515
0.193863451481,55840.089955
