x_um,electric_field_magnitude_v_per_cm
-1.29999995232,61865.6231151
-1.29999995232,61865.6231151
-1.21875,62092.1606909
-1.21875,62092.1606909
-1.13750004768,60752.6144674
-1.13750004768,60752.6144674
-1.05624997616,55518.5600859
-1.05624997616,55518.5600859
-1.015625,49061.9613362
-1.015625,49061.9613362
-0.975000023842,38512.2612717
-0.975000023842,38512.2612717
-0.954687476158,33755.4620854
-0.954687476158,33755.4620854
-0.934374988079,26676.655348
-0.934374988079,26676.655348
-0.9140625,18654.472494
-0.9140625,18654.472494
-0.893750011921,11992.621148
-0.893750011921,11992.621148
-0.873437523842,10710.1566591
-0.873437523842,10710.1566591
-0.86328125,12889.9661839
-0.86328125,12889.9661839
-0.853124976158,18891.52959
-0.853124976158,18891.52959
-0.842968761921,27622.1907861
-0.842968761921,27622.1907861
-0.837890625,35128.299578
-0.837890625,35128.299578
-0.832812488079,56880.1284061
-0.832812488079,56880.1284061
-0.827734351158,105375.410948
-0.827734351158,105375.410948
-0.826245129108,128407.165632
-0.826245129108,128407.165632
-0.824999988079,127242.833425
-0.824999988079,127242.833425
-0.824999988079,127242.833425
-0.822656273842,672746.131621
-0.819339990616,680887.735817
-0.817859888077,808412.271998
-0.817578136921,958285.920799
-0.816683471203,957811.867511
-0.8125,962351.076112
-0.811605334282,962255.543742
-0.807421863079,964660.009199
-0.806527197361,964567.771634
-0.802343726158,965385.951138
-0.80144906044,964905.450155
-0.797265648842,963747.389847
-0.796370983124,962920.542074
-0.792187511921,959733.750023
-0.791292846203,958644.962461
-0.787109375,953657.236742
-0.786214709282,952398.087575
-0.782031238079,946534.879508
-0.781136572361,945156.020798
-0.776953101158,938509.763066
-0.77605843544,937087.590128
-0.771875023842,930309.094919
-0.770980358124,928895.569498
-0.766796886921,922369.269879
-0.765902221203,920796.669644
-0.76171875,915592.869472
-0.753351807594,906236.419432
-0.752009809017,905356.23258
-0.751562476158,905138.06518
-0.751115143299,905168.605088
-0.74185359478,903650.027338
-0.741406261921,903740.920826
-0.734655618668,145478.272548
-0.733002364635,145138.288197
-0.732196092606,106168.640866
-0.731301128864,62863.1915628
-0.729441106319,0.662556116886
-0.729441106319,0.662556116886
-0.729001224041,0.755816670053
-0.721093773842,0.736506844979
-0.718843102455,0.716438553399
-0.71333104372,0.677031278007
-0.7109375,0.684237288574
-0.707388997078,0.663718874653
-0.700781226158,0.651674394217
-0.698401391506,0.630390099773
-0.69439971447,0.610086816647
-0.690625011921,0.621268612033
-0.682304263115,0.560178840413
-0.676997959614,0.547158010818
-0.671998441219,0.532575915327
-0.671380341053,0.533141138655
-0.671380341053,0.533141138655
-0.670190393925,34474.0132738
-0.669620394707,51005.0794749
-0.668725669384,45416.9516466
-0.66015625,532138.692186
-0.659261524677,526962.715291
-0.649999976158,464324.032928
-0.649105250835,459540.748912
-0.639843761921,407785.089665
-0.638949036598,403717.235455
-0.629687488079,350144.893356
-0.628792762756,346709.935818
-0.61490046978,296279.099823
-0.609375,275002.678414
-0.60384953022,264531.061293
-0.594587981701,239602.43681
-0.589062511921,223338.790799
-0.578011572361,208172.29261
-0.568750023842,191388.558787
-0.557699024677,176908.355948
-0.548437476158,164859.853154
-0.537386536598,153749.003047
-0.528124988079,144544.284922
-0.517074048519,135810.286878
-0.5078125,128551.73925
