x_um,electric_field_magnitude_v_per_cm
-1.29999995232,51870.2510173
-1.29999995232,51870.2510173
-1.21875,51926.236999
-1.21875,51926.236999
-1.13750004768,50953.2649214
-1.13750004768,50953.2649214
-1.05624997616,49214.6196188
-1.05624997616,49214.6196188
-1.015625,44726.0547196
-1.015625,44726.0547196
-0.975000023842,36971.2098098
-0.975000023842,36971.2098098
-0.954687476158,33426.5235083
-0.954687476158,33426.5235083
-0.934374988079,27807.0660737
-0.934374988079,27807.0660737
-0.9140625,21570.6715392
-0.9140625,21570.6715392
-0.893750011921,16821.0383993
-0.893750011921,16821.0383993
-0.873437523842,16075.8976264
-0.873437523842,16075.8976264
-0.86328125,17465.6431613
-0.86328125,17465.6431613
-0.853124976158,22791.5714271
-0.853124976158,22791.5714271
-0.842968761921,31015.1334786
-0.842968761921,31015.1334786
-0.837890625,38347.0051519
-0.837890625,38347.0051519
-0.832812488079,59736.5093696
-0.832812488079,59736.5093696
-0.827734351158,107421.761091
-0.827734351158,107421.761091
-0.826245129108,131048.040756
-0.826245129108,131048.040756
-0.824999988079,132056.779835
-0.824999988079,132056.779835
-0.824999988079,132056.779835
-0.822656273842,675220.529922
-0.819339990616,682826.124063
-0.817859888077,809732.171714
-0.817578136921,958542.643139
-0.816683471203,958401.510365
-0.8125,963336.39685
-0.811605334282,963260.747402
-0.807421863079,965751.45573
-0.806527197361,965576.897016
-0.802343726158,966351.506374
-0.80144906044,965856.290446
-0.797265648842,964667.972834
-0.796370983124,963845.791209
-0.792187511921,960660.736328
-0.791292846203,959577.312503
-0.787109375,954601.051339
-0.786214709282,953345.677875
-0.782031238079,947495.37692
-0.781136572361,946120.19582
-0.776953101158,939487.193189
-0.77605843544,938068.825422
-0.771875023842,931304.294941
-0.770980358124,929894.462791
-0.766796886921,923390.607196
-0.765902221203,921824.486446
-0.76171875,916632.035844
-0.753351807594,907314.098348
-0.752009809017,906438.928498
-0.751562476158,906222.184008
-0.751115143299,906256.67543
-0.74185359478,904805.841821
-0.741406261921,904901.321569
-0.734655618668,145669.008445
-0.733002364635,145344.051264
-0.732196092606,106319.156207
-0.731301128864,62952.3125086
-0.729441106319,0.662556116886
-0.729441106319,0.662556116886
-0.729001224041,0.755816670053
-0.721093773842,0.736506844979
-0.718843102455,0.716438553399
-0.71333104372,0.677031278007
-0.7109375,0.684237288574
-0.707388997078,0.663718874653
-0.700781226158,0.651674394217
-0.698401391506,0.630390099773
-0.69439971447,0.610086816647
-0.690625011921,0.621268612033
-0.682304263115,0.560178840413
-0.676997959614,0.547158010818
-0.671998441219,0.532575915327
-0.671380341053,0.533141138655
-0.671380341053,0.533141138655
-0.670190393925,34571.5777351
-0.669620394707,51149.4290108
-0.668725669384,45554.6866867
-0.66015625,533785.435274
-0.659261524677,528600.843002
-0.649999976158,465836.917056
-0.649105250835,461043.907758
-0.639843761921,409168.704219
-0.638949036598,405091.61316
-0.629687488079,351383.837404
-0.628792762756,347940.611774
-0.61490046978,297372.448139
-0.609375,276038.946782
-0.60384953022,265536.515415
-0.594587981701,240537.625433
-0.589062511921,224226.131971
-0.578011572361,209021.099145
-0.568750023842,192189.797611
-0.557699024677,177660.550259
-0.548437476158,165575.082138
-0.537386536598,154420.458401
-0.528124988079,145183.827627
-0.517074048519,136409.179962
-0.5078125,129121.141328
-0.49676156044,122029.922752
-0.487500011921,116134.991381
-0.476449042559,110347.469959
-0.46718749404,105506.808354
-0.45613655448,100734.832927
-0.44687500596,96717.902324
-0.435824036598,92747.4814611
-0.426562488079,89388.5304794
-0.415511548519,86060.573572
-0.40625,83222.7526243
-0.39519906044,80422.9382113
-0.385937511921,78014.0035976
-0.374886542559,75661.2050135
-0.36562499404,73629.8754454
-0.35457405448,71660.6122666
-0.34531250596,69997.4604507
-0.334261536598,68318.8022136
-0.324999988079,66880.9860772
-0.313949048519,65441.5557167
-0.3046875,64168.8531467
-0.29363656044,63102.098907
-0.284375011921,61781.5031484
-0.262273102999,59390.7084363
-0.24375000596,57729.0845054
-0.212386548519,56567.9393754
-0.203125,56106.5791415
-0.171761542559,54957.7843319
-0.16249999404,54638.6370323
-0.131136551499,54525.0670975
-0.12187500298,54525.6241595
-0.104986988008,13298.0713448
-0.10000000149,2.35295316052e-16
-0.10000000149,2.35295316052e-16
-0.085524559021,1.92350114513e-16
-0.0812499970198,1.7966852752e-16
-0.0498865433037,1.2239105893e-16
-0.0406249985099,1.05477187225e-16
-0.00926154572517,2.40463125013e-17
0,9.76694877588e-23
0.031363453716,8.14308777133e-17
0.0406249985099,1.05477193707e-16
0.0719884485006,1.62754632247e-16
0.0812499970198,1.79668514084e-16
0.0957254394889,2.22613691602e-16
0.10000000149,2.3529530518e-16
0.10000000149,2.3529530518e-16
0.116888016462,40293.7033915
0.12187500298,53325.2711575
0.15323844552,54217.1922299
0.16249999404,54559.5016002
0.193863451481,55613.7077947
0.203125,56033.4132865
0.234488457441,57628.9174672
0.24375000596,58259.9338423
0.275113463402,60906.4085667
0.284375011921,61821.4359402
0.31573843956,65491.2053711
0.324999988079,66738.8773838
0.340681731701,69905.7001867
0.35457405448,71794.4113821
0.36562499404,73021.458847
0.376675963402,75423.7829159
0.385937511921,77943.138601
0.396988451481,80690.4163913
0.40625,83056.1047406
0.41730093956,86360.6696873
0.426562488079,89247.3726979
0.437613457441,93212.6639722
0.44687500596,96641.7404363
0.45792594552,101414.310233
0.46718749404,105494.889243
0.478238463402,111283.834017
0.487500011921,116178.671466
